index_in_dataset,dataset,start_time,ttft,finish_time,throughput,generated_text
0,hotpotqa,2356626.134098617,1.8852345859631896,1.8852345859631896,8.487007462694836,Gates v. Collier
1,hotpotqa,2356628.019836158,1.790585219860077,1.790585219860077,6.143242934206494,Jules Verne
2,hotpotqa,2356629.810858158,1.845623885281384,1.845623885281384,9.210977456226505,"Lowell, Michigan."
3,hotpotqa,2356631.656955657,1.743598261848092,1.743598261848092,4.014686268716791,the Sun
4,hotpotqa,2356633.400970857,1.5206249640323222,1.5206249640323222,4.603370433586548,on film
5,hotpotqa,2356634.922044196,1.5482878000475466,1.5482878000475466,6.458747527231635,Parliament
6,hotpotqa,2356636.470783226,2.00260675791651,2.00260675791651,17.477220558475302,"Mayiladuthurai District, Tranquebar"
7,hotpotqa,2356638.473863286,0.6796251912601292,0.6796251912601292,48.55617541017416,Pleiospilos is a flowering plant.
8,hotpotqa,2356639.154164555,1.2770422641187906,1.2770422641187906,3.1322377593823467,1964
9,hotpotqa,2356640.431663193,0.9751517712138593,0.9751517712138593,11.280295359877476,The Rebirth
10,hotpotqa,2356641.407258121,1.97678955597803,1.97678955597803,8.599802618639966,"October 13, 1980."
11,hotpotqa,2356643.38475288,1.9329777541570365,1.9329777541570365,23.797480287123328,Cartoon Network's late night programming block
12,hotpotqa,2356645.318205043,1.6865304056555033,1.6865304056555033,5.929332768900364,Mary Astor
13,hotpotqa,2356647.005165142,1.1310201762244105,1.1310201762244105,7.957417727103634,number 20
14,hotpotqa,2356648.136688852,2.0138140846975148,2.0138140846975148,12.414254220371653,"Red, fallow and roe deer."
15,hotpotqa,2356650.151003479,1.372752940747887,1.372752940747887,14.569263999612224,2000 Summer Olympics
16,hotpotqa,2356651.524235461,0.7648028801195323,0.7648028801195323,26.150529136179724,Claudio Javier López
17,hotpotqa,2356652.289517257,1.7680931659415364,1.7680931659415364,7.352553728738216,Ronald Reagan
18,hotpotqa,2356654.05806102,1.7966833710670471,1.7966833710670471,17.810595074965967,"Rihanna's ""We Found Love"" album."
19,hotpotqa,2356655.855242651,1.810505046043545,1.810505046043545,12.151305542106106,The Traveling Wilburys
20,hotpotqa,2356657.666179374,1.2356435251422226,1.2356435251422226,18.61378264200648,Cartoon Cartoon Fridays
21,hotpotqa,2356658.902263572,1.6858714800328016,1.6858714800328016,13.64279559409386,Greater Western Sydney.
22,hotpotqa,2356660.588595099,0.6798887313343585,0.6798887313343585,27.945749244454095,Jones Beach Island.
23,hotpotqa,2356661.268920044,1.5228830678388476,1.5228830678388476,17.729529318568243,PewDiePie and Tupac Shakur.
24,hotpotqa,2356662.792332584,1.6754870219156146,1.6754870219156146,19.695765809197677,It's Always Sunny in Philadelphia
25,hotpotqa,2356664.468352899,1.1002475270070136,1.1002475270070136,29.9932507821848,Blue Valley Northwest High School
26,hotpotqa,2356665.569054957,1.8069774401374161,1.8069774401374161,7.194334423462078,the ribosome.
