index_in_dataset,dataset,start_time,ttft,finish_time,throughput,generated_text,ROUGEL
0,hotpotqa,2356301.848583434,2.2958852131851017,2.2958852131851017,6.968989524438402,Gates v. Collier,0.7111111111111111
1,hotpotqa,2356304.14493902,2.292684777174145,2.292684777174145,4.797868468232288,Jules Verne,0.3225806451612903
2,hotpotqa,2356306.438020275,1.8231598171405492,1.8231598171405492,9.324470537455603,"Lowell, Michigan.",1.0
3,hotpotqa,2356308.261642536,1.8289563269354403,1.8289563269354403,10.388438324186772,the Sun and Jupiter,0.7555555555555555
4,hotpotqa,2356310.091001492,1.5179744479246438,1.5179744479246438,4.611408320851721,on film,0.25
5,hotpotqa,2356311.609390576,1.553304108325392,1.553304108325392,6.437889365258257,Parliament,0.22222222222222224
6,hotpotqa,2356313.163104437,2.010808560997248,2.010808560997248,17.405933453278106,"Mayiladuthurai District, Tranquebar",0.813953488372093
7,hotpotqa,2356315.174399692,0.6762359607964754,0.6762359607964754,48.79953435355962,Pleiospilos is a flowering plant.,1.0
8,hotpotqa,2356315.851218836,1.2815914521925151,1.2815914521925151,3.121119443452044,2013,0.5
9,hotpotqa,2356317.133245232,0.9698432888835667,0.9698432888835667,11.342038580957372,The Rebirth,1.0
10,hotpotqa,2356318.103500681,1.9630306651815768,1.9630306651815768,8.660078674026993,"October 13, 1980.",1.0
11,hotpotqa,2356320.066970637,1.9444694658741355,1.9444694658741355,23.656838437069887,Cartoon Network's late night programming block,0.8043478260869565
12,hotpotqa,2356322.011896313,1.6895716236904263,1.6895716236904263,5.918660008125386,Mary Astor,1.0
13,hotpotqa,2356323.701881562,1.0801627929322422,1.0801627929322422,10.183650160860545,number five,1.0
14,hotpotqa,2356324.782461351,1.9990675849840045,1.9990675849840045,12.505830311985193,"Red, fallow and roe deer.",0.7719298245614036
15,hotpotqa,2356326.781963453,1.374950923025608,1.374950923025608,14.545973725367292,2000 Summer Olympics,0.975609756097561
16,hotpotqa,2356328.157407593,0.7705270308069885,0.7705270308069885,25.95626006663724,Mario Alberto Kempes,0.8333333333333333
17,hotpotqa,2356328.928440706,1.774955325294286,1.774955325294286,7.324128001838362,Ronald Reagan,1.0
18,hotpotqa,2356330.703864812,1.819165598135441,1.819165598135441,17.590482159952057,"Rihanna's ""We Found Love"" album.",1.0
19,hotpotqa,2356332.523571629,1.844142239075154,1.844142239075154,11.929665474737511,The Traveling Wilburys,0.6461538461538462
20,hotpotqa,2356334.368189948,1.2423144290223718,1.2423144290223718,18.51383149280464,Cartoon Cartoon Fridays,1.0
21,hotpotqa,2356335.610962857,1.690708632115275,1.690708632115275,13.6037632760083,Greater Western Sydney.,1.0
22,hotpotqa,2356337.302278657,0.6742010801099241,0.6742010801099241,28.181503353424137,Jones Beach Island.,1.0
23,hotpotqa,2356337.976910532,1.443606389220804,1.443606389220804,20.088578310915445,PewDiePie appears as himself.,1.0
24,hotpotqa,2356339.420990105,1.6687184562906625,1.6687184562906625,19.77565471011484,It's Always Sunny in Philadelphia,0.9850746268656716
25,hotpotqa,2356341.090160979,1.1043095821514726,1.1043095821514726,29.88292461947827,Blue Valley Northwest High School,1.0
26,hotpotqa,2356342.194939263,2.014760565944016,2.014760565944016,23.327833984073514,the ribosomal subunits involved in translation.,1.0
27,hotpotqa,2356344.210205845,1.2000916027463973,1.2000916027463973,20.831743129264265,Dracula has more species.,0.8235294117647058
28,hotpotqa,2356345.410772916,0.5619472800754011,0.5619472800754011,44.488159096784926,Band-e-Amir National Park,0.9411764705882353
29,hotpotqa,2356345.973181656,1.8563654241152108,1.8563654241152108,18.3153594428776,University of Southern California.,0.8947368421052632
30,hotpotqa,2356347.830017124,1.891567273065448,1.891567273065448,4.757959247949307,"7,413,070",0.4
31,hotpotqa,2356349.722068273,1.6578293428756297,1.6578293428756297,9.651174331518826,Wanxiang America,0.28571428571428575
32,hotpotqa,2356351.380397575,1.7089069499634206,1.7089069499634206,18.14025041016046,Traverse City has a population.,1.0
33,hotpotqa,2356353.089853385,1.7763440939597783,1.7763440939597783,5.066585933774487,Taoiseach,0.42857142857142855
34,hotpotqa,2356354.866664903,2.1683906973339617,2.1683906973339617,40.121920882139264,"There is no information about Vegepet being based in a city in Lincoln County, Montana.",1.0
35,hotpotqa,2356357.035692039,1.9272731328383088,1.9272731328383088,6.745281599424783,Mika Häkkinen,1.0
36,hotpotqa,2356358.963436721,2.018198858946562,2.018198858946562,18.333178534900604,The Hunger Games: Mockingjay – Part 1,0.4927536231884059
37,hotpotqa,2356360.982169314,1.843199344351888,1.843199344351888,24.95660609958316,Darci Kistler choreographed George Balanchine.,0.8679245283018869
38,hotpotqa,2356362.82591985,1.756152855232358,1.756152855232358,6.263691663983646,Xcel Energy,1.0
