index_in_dataset,dataset,start_time,ttft,finish_time,throughput,generated_text,ROUGEL
0,qmsum,1622154.278281356,3.1150534180924296,3.1150534180924296,82.50259803165093,"The working design of the remote control involves an energy source, such as a battery, a user interface with a keypad and buttons, a digital signal processing chip, and an infrared LED source to send information to the main device. The chip will process the",0.43795620437956206
1,qmsum,1622157.393684915,2.1657775149215013,2.1657775149215013,98.348052157943,"The group discussed the touch screen feature and decided to omit it in favor of voice recognition due to budget constraints, considering voice recognition as a lower-risk option that could be on the market sooner.",0.44067796610169496
2,qmsum,1622159.559727217,3.2646843949332838,3.2646843949332838,78.7212388428291,"The general discussion revolved around the progress of the transcription project, including the number of hours completed and the goal to have 11 hours done by the end of the month. The group also discussed the idea of having the transcribers talk about the",0.31818181818181823
3,qmsum,1622162.82468431,3.0441036950796843,3.0441036950796843,95.59464103353504,"The Project Manager was initially enthusiastic about the prototype, but as the meeting progressed, they became increasingly frustrated with the costs and the need to compromise on design elements. They expressed disappointment that the team had to ""dump all their creativity"" due to the high",0.31683168316831684
4,qmsum,1622165.869086513,3.003546872874722,3.003546872874722,77.5749505040997,"The system would be involved in a demo of the construction analyzer that can be the same for both the applied project and Nancy's child language modeling, and possibly a demo of the formalized linguistics and the parser and analyzer.",0.15686274509803924
5,qmsum,1622168.872905944,2.157753668026998,2.157753668026998,102.884774703218,"User Interface introduced the prototype of the remote control by saying ""Yeah, well the same. I I espe I especially uh liked the the means, the the SMARTboard and uh Yeah, it uh It brings up new ideas when you work with uh",0.08163265306122448
6,qmsum,1622171.031345571,3.4091422660276294,3.4091422660276294,65.70567683026243,"Professor C mentioned that we have to have this discussion of the experiment, and the data collection, and all that sorta stuff, and that we do have a student who is a candidate for wizard, who is a student of Eve's, and she",0.04166666666666667
7,qmsum,1622174.440768435,3.625724761048332,3.625724761048332,77.77755306458047,"The professor thought that MSG had a good potential for bringing in things with different temporal properties, but due to limited time and other priorities, they decided to focus on more core questions about the training set and training targets, and fitting in what they were doing",0.0
8,qmsum,1622178.066773044,2.040291537996381,2.040291537996381,139.68591972884292,"The Marketing thought that buttons on the remote control could be confusing for users and suggested that a menu-based system or a single button for a menu could be a more user-friendly approach, allowing users to access additional functions on the screen rather than having to navigate",0.16
9,qmsum,1622180.107361129,2.609492063988,2.609492063988,88.90619105598738,"The professor thought that it was a good idea to sort of not do anything really tricky, and that clustering was a simple thing to try, but he also mentioned that it was good to have a good person look at this for a few weeks and see",0.0
