index_in_dataset,dataset,start_time,ttft,finish_time,throughput,generated_text
0,samsum,1633417.92508424,2.1880669789388776,2.1880669789388776,10.511561218822495,Yes she is still angry.
1,samsum,1633420.113431996,0.5002332411240786,0.5002332411240786,53.97482170382771,Mico is going to the party.
2,samsum,1633420.613957594,1.4403135271277279,1.4403135271277279,15.274452114514528,He will call tomorrow.
3,samsum,1633422.054547177,1.0466752890497446,1.0466752890497446,32.48380883327045,Autumn has sewn a beautiful dress.
4,samsum,1633423.101518342,1.335233255987987,1.335233255987987,35.199842266677976,Brenda and Sandra are reuniting after 25 years.
5,samsum,1633424.437058604,1.6704752468504012,1.6704752468504012,19.156225188211813,Leah wants Kristi to use her ID.
6,samsum,1633426.107831279,1.8401278660167009,1.8401278660167009,23.911381818941848,They discuss staying healthy and exercising.
7,samsum,1633427.948292122,1.7965164359193295,1.7965164359193295,14.47245317669195,Petra is extremely sleepy.
8,samsum,1633429.745127415,1.3197645149193704,1.3197645149193704,27.2775935350856,It's a funny and accurate depiction.
9,samsum,1633431.065200327,0.6020611540880054,0.6020611540880054,53.15074686802073,Adele has a new dog named Bones.
10,samsum,1633431.667515866,1.1211162069812417,1.1211162069812417,24.975109471830596,Celine will call Cara later.
11,samsum,1633432.78894068,1.1697610861156136,1.1697610861156136,29.06576428602413,Janice has seen most of the films.
12,samsum,1633433.959018723,0.7109394369181246,0.7109394369181246,50.637224678458715,We will meet at Carrington tomorrow.
13,samsum,1633434.670243906,1.5047517218627036,1.5047517218627036,25.253335449226483,Florence's new single is out tomorrow.
14,samsum,1633436.175297594,1.19988559698686,1.19988559698686,27.50262198568701,Martin won cinema tickets online.
15,samsum,1633437.375478419,1.1262884770985693,1.1262884770985693,23.972543934352124,He will listen to it later.
16,samsum,1633438.502126954,0.6761741749942303,0.6761741749942303,51.76181122311962,Wanda wants to go grocery shopping.
17,samsum,1633439.178600135,0.4855388889554888,0.4855388889554888,57.66788332904652,The offer seems pretty good.
18,samsum,1633439.66443024,1.7503039401490241,1.7503039401490241,17.139880286989325,Slawomir Mrożek is the writer.
19,samsum,1633441.415063238,0.6601838630158454,0.6601838630158454,39.38296807381364,Jesse broke his own razor.
20,samsum,1633442.075560588,1.8225927830208093,1.8225927830208093,12.070716072702027,You can meet her at 7.
21,samsum,1633443.898474217,1.7484352909959853,1.7484352909959853,16.586258667588623,They will meet in town later.
22,samsum,1633445.647213775,0.4913657419383526,0.4913657419383526,26.456870901738604,7:30 is fine.
23,samsum,1633446.138824902,0.8341412050649524,0.8341412050649524,40.760484907771115,Gary is enjoying driving for Uber.
24,samsum,1633446.973251014,1.6155902959872037,1.6155902959872037,22.901845902330834,Dorothea is celebrating her birthday.
25,samsum,1633448.589183648,0.6833085271064192,0.6833085271064192,57.07524266549377,They are going to visit German markets.
26,samsum,1633449.272796291,1.1655714861117303,1.1655714861117303,24.022550597395064,Carter will lend Mary money.
27,samsum,1633450.438660364,1.5039466440211982,1.5039466440211982,20.612433375371165,She will watch it this weekend.
28,samsum,1633451.942887795,1.107554126996547,1.107554126996547,29.795383535330263,Delete the expense and re-add it.
29,samsum,1633453.050756679,2.2132836170494556,2.2132836170494556,9.488164932063814,I will be there then.
30,samsum,1633455.264342683,0.745562476105988,0.745562476105988,54.99203797666918,They will have pasta for dinner together.
31,samsum,1633456.010212005,0.7733405879698694,0.7733405879698694,37.49964821596806,The party was very enjoyable.
32,samsum,1633456.783819549,0.821158017963171,0.821158017963171,43.840526686076394,Dreams reflect our subconsciousness.
33,samsum,1633457.605279053,1.547576135955751,1.547576135955751,16.154294072621195,She will make it on time.
34,samsum,1633459.153170866,0.5231723610777408,0.5231723610777408,64.98814258834246,Louisa will lend Thelma her dress.
35,samsum,1633459.676755746,1.5411137281917036,1.5411137281917036,9.08433929559967,9 at my place.
36,samsum,1633461.21819238,1.4233189541846514,1.4233189541846514,21.780079516863005,It's a wardrobe management app.
37,samsum,1633462.641823351,1.6082729899790138,1.6082729899790138,17.409979633100328,People are at Jesus bar now.
38,samsum,1633464.250399428,1.3382638599723577,1.3382638599723577,18.680919920019647,Nicole is willing to try.
39,samsum,1633465.588957624,0.6746036529075354,0.6746036529075354,77.08229828860323,Sara removes herself from the Splitwise transaction.
